source,rank,tankathon_big_board_rank_in_mock,name,position,team_school,norm_name
Tankathon mock,1,,AJ Dybantsa,SF,BYU,aj dybantsa
Tankathon mock,2,2.0,Darryn Peterson,SG/PG,Kansas,darryn peterson
Tankathon mock,3,3.0,Cameron Boozer,PF,Duke,cameron boozer
Tankathon mock,4,5.0,Caleb Wilson,SF/PF,North Carolina,caleb wilson
Tankathon mock,5,3.0,Keaton Wagler,SG/PG,Illinois,keaton wagler
Tankathon mock,6,3.0,Darius Acuff Jr.,PG,Arkansas,darius acuff
Tankathon mock,7,2.0,Kingston Flemings,PG,Houston,kingston flemings
Tankathon mock,8,1.0,Aday Mara,C,Michigan,aday mara
Tankathon mock,9,1.0,Brayden Burries,SG/PG,Arizona,brayden burries
Tankathon mock,10,,Mikel Brown Jr.,PG,Louisville,mikel brown
Tankathon mock,11,,Nate Ament,SF,Tennessee,nate ament
Tankathon mock,12,,Yaxel Lendeborg,PF,Michigan,yaxel lendeborg
Tankathon mock,13,,Labaron Philon Jr.,PG,Alabama,labaron philon
Tankathon mock,14,,Karim López,SF,New Zealand,karim lopez
Tankathon mock,15,,Cameron Carr,SG,Baylor,cameron carr
Tankathon mock,16,,Jayden Quaintance,PF/C,Kentucky,jayden quaintance
Tankathon mock,17,,Dailyn Swain,SG/SF,Texas,dailyn swain
Tankathon mock,18,,Hannes Steinbach,PF,Washington,hannes steinbach
Tankathon mock,19,,Bennett Stirtz,PG,Iowa,bennett stirtz
Tankathon mock,20,,Chris Cenac Jr.,PF/C,Houston,chris cenac
Tankathon mock,21,,Christian Anderson,PG,Texas Tech,christian anderson
Tankathon mock,22,,Morez Johnson Jr.,PF,Michigan,morez johnson
Tankathon mock,23,,Ebuka Okorie,PG,Stanford,ebuka okorie
Tankathon mock,24,,Allen Graves,PF,Santa Clara,allen graves
Tankathon mock,25,,Henri Veesaar,C,North Carolina,henri veesaar
Tankathon mock,26,,Isaiah Evans,SF,Duke,isaiah evans
Tankathon mock,27,,Koa Peat,PF,Arizona,koa peat
Tankathon mock,28,,Meleek Thomas,SG/PG,Arkansas,meleek thomas
Tankathon mock,29,,Alex Karaban,SF/PF,UConn,alex karaban
Tankathon mock,30,,Joshua Jefferson,PF/SF,Iowa State,joshua jefferson
Tankathon mock,31,,Tarris Reed Jr.,C,UConn,tarris reed
Tankathon mock,32,,Ryan Conwell,SG,Louisville,ryan conwell
Tankathon mock,33,,Zuby Ejiofor,PF,St. John's,zuby ejiofor
Tankathon mock,34,,Luigi Suigo,C,KK Mega Basket,luigi suigo
Tankathon mock,35,,Richie Saunders,SG,BYU,richie saunders
Tankathon mock,36,,Ugonna Onyenso,C,Virginia,ugonna onyenso
Tankathon mock,37,,Baba Miller,SF,Cincinnati,baba miller
Tankathon mock,38,,Trevon Brazile,PF,Arkansas,trevon brazile
Tankathon mock,39,,Otega Oweh,SG,Kentucky,otega oweh
Tankathon mock,40,,Sergio de Larrea,PG/SG,Valencia,sergio de larrea
Tankathon mock,41,,Nick Martinelli,SF,Northwestern,nick martinelli
Tankathon mock,42,,Jaden Bradley,PG,Arizona,jaden bradley
Tankathon mock,43,,Jack Kayil,PG,Alba Berlin,jack kayil
Tankathon mock,44,,Braden Smith,PG,Purdue,braden smith
Tankathon mock,45,,Emanuel Sharp,SG,Houston,emanuel sharp
Tankathon mock,46,,Ja'Kobi Gillespie,PG,Tennessee,ja kobi gillespie
Tankathon mock,47,,Milos Uzan,PG,Houston,milos uzan
Tankathon mock,48,,Bruce Thornton,PG,Ohio State,bruce thornton
Tankathon mock,49,,Tyler Nickel,SG,Vanderbilt,tyler nickel
Tankathon mock,50,,Felix Okpara,C,Tennessee,felix okpara
Tankathon mock,51,,Izaiyah Nelson,PF/C,South Florida,izaiyah nelson
Tankathon mock,52,,Maliq Brown,PF,Duke,maliq brown
Tankathon mock,53,,Tamin Lipsey,PG,Iowa State,tamin lipsey
Tankathon mock,54,,Tobi Lawal,PF,Virginia Tech,tobi lawal
Tankathon mock,55,,Keyshawn Hall,SF,Auburn,keyshawn hall
Tankathon mock,56,,Rafael Castro,C,George Washington,rafael castro
Tankathon mock,57,,Dillon Mitchell,SF,St. John's,dillon mitchell
Tankathon mock,58,,Tyler Bilodeau,PF,UCLA,tyler bilodeau
Tankathon mock,59,,Kylan Boswell,PG,Illinois,kylan boswell
Tankathon mock,60,,Pavle Backo,C,KK Mega Basket,pavle backo
