source,rank,name,team_school,class,position,height_listed,height_in,weight_lbs,wingspan_listed,wingspan_in,age,norm_name
Yahoo/KOC big board,1,Cameron Boozer,Duke,Freshman,Forward,"6' 8""",80.0,253.0,"7' 2""",86.0,18.9,cameron boozer
Yahoo/KOC big board,2,AJ Dybantsa,BYU,Freshman,Forward,"6' 9""",81.0,217.0,"7' 1""",85.0,19.4,aj dybantsa
Yahoo/KOC big board,3,Darryn Peterson,Kansas,Freshman,Guard,"6' 5""",77.0,199.0,"6' 10""",82.0,19.4,darryn peterson
Yahoo/KOC big board,4,Caleb Wilson,North Carolina,Freshman,Big,"6' 9""",81.0,211.0,"7' 0""",84.0,19.9,caleb wilson
Yahoo/KOC big board,5,Mikel Brown Jr.,Louisville,Freshman,Guard,"6' 4""",76.0,190.0,"6' 8""",80.0,20.2,mikel brown
Yahoo/KOC big board,6,Keaton Wagler,Illinois,Freshman,Guard,"6' 5""",77.0,188.0,"6' 6""",78.0,19.4,keaton wagler
Yahoo/KOC big board,7,Darius Acuff Jr.,Arkansas,Freshman,Guard,"6' 2""",74.0,186.0,"6' 7""",79.0,19.6,darius acuff
Yahoo/KOC big board,8,Brayden Burries,Arizona,Freshman,Guard,"6' 4""",76.0,215.0,"6' 6""",78.0,20.8,brayden burries
Yahoo/KOC big board,9,Aday Mara,Michigan,Junior,Big,"7' 3""",87.0,260.0,"7' 6""",90.0,21.2,aday mara
Yahoo/KOC big board,10,Nate Ament,Tennessee,Freshman,Forward,"6' 10""",82.0,211.0,"7' 0""",84.0,19.5,nate ament
